srch_id,site_id,prop_starrating,prop_location_score1,prop_log_historical_price,position,promotion_flag,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,random_bool,gross_bookings_usd,price_usd,click_bool,booking_bool
63,14,4,4.19,5.33,12,1,4,25,3,0,1,0,1,,77.63,0,0
63,14,4,4.06,5.27,10,1,4,25,3,0,1,0,1,,87.34,0,0
63,14,4,4.16,5.3,15,1,4,25,3,0,1,0,1,,69.87,0,0
63,14,5,4.08,5.89,13,1,4,25,3,0,1,0,1,,147.5,0,0
63,14,5,4.11,5.84,4,0,4,25,3,0,1,0,1,,177.58,0,0
63,14,5,4.16,5.9,2,0,4,25,3,0,1,0,1,,152.35,1,0
63,14,4,4.09,5.54,3,1,4,25,3,0,1,0,1,,140.71,0,0
63,14,5,4.08,5.89,9,1,4,25,3,0,1,0,1,,141.68,0,0
63,14,5,4.29,5.96,7,0,4,25,3,0,1,0,1,,164.97,0,0
63,14,5,4.19,5.61,14,0,4,25,3,0,1,0,1,,128.09,0,0
63,14,4,4.04,5.2,1,0,4,25,3,0,1,0,1,,92.19,0,0
63,14,4,4.29,5.35,6,0,4,25,3,0,1,0,1,,107.71,0,0
63,14,5,4.33,5.88,8,0,4,25,3,0,1,0,1,,196.02,0,0
90,14,3,4.33,5.07,36,1,2,44,1,0,1,1,1,,119.92,0,0
90,14,3,4.16,4.62,15,1,2,44,1,0,1,1,1,,33.15,0,0
90,14,3,3.85,4.7,35,1,2,44,1,0,1,1,1,,47.77,0,0
90,14,4,4.16,4.94,24,1,2,44,1,0,1,1,1,,60.45,0,0
90,14,5,4.08,5.89,28,1,2,44,1,0,1,1,1,,194.99,0,0
90,14,4,4.16,5.29,6,1,2,44,1,0,1,1,1,,97.49,0,0
90,14,3,4.32,5.23,26,1,2,44,1,0,1,1,1,,94.57,0,0
90,14,4,4.19,5.32,30,1,2,44,1,0,1,1,1,,102.37,0,0
90,14,5,4.29,5.97,18,0,2,44,1,0,1,1,1,,230.09,0,0
90,14,4,3.61,5.07,12,1,2,44,1,0,1,1,1,,101.39,0,0
90,14,4,4.25,4.98,2,1,2,44,1,0,1,1,1,,65.32,0,0
90,14,3,3.76,4.65,29,1,2,44,1,0,1,1,1,,53.62,0,0
90,14,2,4.32,4.74,1,1,2,44,1,0,1,1,1,,78.0,0,0
90,14,4,4.09,5.54,4,1,2,44,1,0,1,1,1,,122.84,0,0
90,14,4,4.06,5.27,20,1,2,44,1,0,1,1,1,,75.07,1,0
90,14,3,3.99,4.94,21,1,2,44,1,0,1,1,1,,65.32,0,0
90,14,4,4.13,5.56,7,1,2,44,1,0,1,1,1,,149.17,0,0
90,14,3,3.04,4.95,34,1,2,44,1,0,1,1,1,,50.7,0,0
90,14,4,4.22,5.12,10,1,2,44,1,0,1,1,1,,74.1,0,0
90,14,4,3.43,5.49,19,1,2,44,1,0,1,1,1,,124.79,0,0
90,14,4,4.04,5.2,14,1,2,44,1,0,1,1,1,,91.64,0,0
90,14,5,3.66,5.54,31,1,2,44,1,0,1,1,1,,152.09,0,0
90,14,4,4.3,5.36,13,0,2,44,1,0,1,1,1,,129.67,0,0
90,14,4,3.95,5.16,37,1,2,44,1,0,1,1,1,,77.02,0,0
90,14,3,3.85,4.78,8,0,2,44,1,0,1,1,1,,79.95,0,0
90,14,4,4.29,5.36,27,0,2,44,1,0,1,1,1,,102.37,0,0
90,14,5,4.08,5.89,9,1,2,44,1,0,1,1,1,,194.99,0,0
90,14,3,3.76,4.89,22,1,2,44,1,0,1,1,1,,46.8,0,0
90,14,2,3.76,4.53,32,0,2,44,1,0,1,1,1,,63.37,0,0
90,14,5,4.33,5.87,25,0,2,44,1,0,1,1,1,,244.71,0,0
90,14,5,4.32,5.82,3,1,2,44,1,0,1,1,1,,154.04,0,0
90,14,5,4.16,5.9,16,0,2,44,1,0,1,1,1,,173.54,0,0
90,14,5,4.29,5.96,33,1,2,44,1,0,1,1,1,,203.76,0,0
104,14,2,1.39,4.8,3,0,3,76,2,1,1,1,1,,102.97,0,0
104,14,2,1.79,4.85,7,0,3,76,2,1,1,1,1,,141.58,0,0
104,14,3,1.1,5.06,4,0,3,76,2,1,1,1,1,,131.68,0,0
104,14,3,1.39,4.86,6,0,3,76,2,1,1,1,1,,110.89,0,0
104,14,3,1.39,5.2,2,0,3,76,2,1,1,1,1,499.22,142.57,1,1
104,14,4,1.1,5.36,1,1,3,76,2,1,1,1,1,,126.73,0,0
293,14,3,3.0,0.0,10,1,1,56,2,0,1,1,1,,77.47,0,0
293,14,3,2.08,0.0,36,0,1,56,2,0,1,1,1,,77.47,0,0
293,14,3,1.39,0.0,26,0,1,56,2,0,1,1,1,,87.28,0,0
293,14,4,3.04,0.0,16,0,1,56,2,0,1,1,1,,87.28,0,0
293,14,3,2.56,0.0,25,0,1,56,2,0,1,1,1,,79.44,0,0
293,14,3,2.08,0.0,9,1,1,56,2,0,1,1,1,,72.57,1,0
293,14,4,2.71,0.0,24,0,1,56,2,0,1,1,1,,75.51,0,0
293,14,3,1.95,0.0,34,0,1,56,2,0,1,1,1,,77.47,0,0
293,14,4,2.94,0.0,1,0,1,56,2,0,1,1,1,,97.09,0,0
293,14,3,1.79,0.0,31,0,1,56,2,0,1,1,1,,101.99,0,0
293,14,2,1.95,0.0,15,0,1,56,2,0,1,1,1,,93.16,0,0
293,14,3,2.89,0.0,4,0,1,56,2,0,1,1,1,,87.28,0,0
293,14,2,2.2,0.0,37,0,1,56,2,0,1,1,1,,81.4,0,0
293,14,3,3.09,0.0,21,0,1,56,2,0,1,1,1,,106.89,0,0
293,14,3,1.1,0.0,33,0,1,56,2,0,1,1,1,,100.03,0,0
293,14,4,2.89,0.0,22,1,1,56,2,0,1,1,1,,68.65,0,0
293,14,3,2.71,0.0,18,0,1,56,2,0,1,1,1,,83.36,0,0
293,14,3,2.94,0.0,7,0,1,56,2,0,1,1,1,,89.24,0,0
293,14,3,1.1,0.0,32,0,1,56,2,0,1,1,1,,88.26,0,0
293,14,4,2.08,0.0,3,0,1,56,2,0,1,1,1,,122.59,0,0
293,14,3,2.89,0.0,6,0,1,56,2,0,1,1,1,,82.38,1,0
293,14,3,2.2,0.0,38,1,1,56,2,0,1,1,1,,80.42,0,0
293,14,3,1.39,0.0,28,1,1,56,2,0,1,1,1,,96.11,0,0
293,14,4,2.94,0.0,8,0,1,56,2,0,1,1,1,,116.7,0,0
293,14,3,2.89,0.0,2,0,1,56,2,0,1,1,1,,82.38,1,0
